"","Edad","Hombres","Mujeres"
"1","0 Años",1184,1137
"2","1 Año",1414,1278
"3","2 Años",1622,1571
"4","3 Años",1712,1747
"5","4 Años",1823,1795
"6","5 Años",1784,1845
"7","6 Años",1557,1656
"8","7 Años",1592,1656
"9","8 Años",1745,1733
"10","9 Años",1526,1639
"11","10 Años",1945,1828
"12","11 Años",1735,1633
"13","12 Años",1857,1833
"14","13 Años",1780,1800
"15","14 Años",1874,1829
"16","15 Años",2001,1872
"17","16 Años",1841,1752
"18","17 Años",2120,1927
"19","18 Años",2050,1850
"20","19 Años",1849,1710
"21","20 Años",2047,2100
"22","21 Años",1700,1676
"23","22 Años",1694,1867
"24","23 Años",1685,1639
"25","24 Años",1637,1666
"26","25 Años",1697,1776
"27","26 Años",1493,1607
"28","27 Años",1385,1530
"29","28 Años",1541,1528
"30","29 Años",1336,1454
"31","30 Años",1606,1857
"32","31 Años",1055,1151
"33","32 Años",1368,1484
"34","33 Años",1189,1382
"35","34 Años",1165,1328
"36","35 Años",1397,1600
"37","36 Años",1313,1506
"38","37 Años",1088,1390
"39","38 Años",1539,1748
"40","39 Años",1293,1533
"41","40 Años",1787,2129
"42","41 Años",1100,1327
"43","42 Años",1700,2031
"44","43 Años",1527,1852
"45","44 Años",1275,1491
"46","45 Años",1802,2043
"47","46 Años",1508,1572
"48","47 Años",1569,1637
"49","48 Años",1501,1635
"50","49 Años",1362,1492
"51","50 Años",1577,1777
"52","51 Años",907,1073
"53","52 Años",1292,1367
"54","53 Años",1106,1183
"55","54 Años",1009,1099
"56","55 Años",919,1006
"57","56 Años",912,1029
"58","57 Años",714,829
"59","58 Años",743,866
"60","59 Años",664,783
"61","60 Años",838,1012
"62","61 Años",438,605
"63","62 Años",663,703
"64","63 Años",603,659
"65","64 Años",541,692
"66","65 Años",621,674
"67","66 Años",412,452
"68","67 Años",406,423
"69","68 Años",408,506
"70","69 Años",296,377
"71","70 Años",390,407
"72","71 Años",214,228
"73","72 Años",263,363
"74","73 Años",230,261
"75","74 Años",226,266
"76","75 Años",205,236
"77","76 Años",155,188
"78","77 Años",121,131
"79","78 Años",129,164
"80","79 Años",105,126
"81","80 Años",112,149
"82","81 Años",75,79
"83","82 Años",87,87
"84","83 Años",79,95
"85","84 Años",62,83
"86","85 Años",58,79
"87","86 Años",44,67
"88","87 Años",31,55
"89","88 Años",30,39
"90","89 Años",35,42
"91","90 Años",23,45
"92","91 Años",10,11
"93","92 Años",10,13
"94","93 Años",12,23
"95","94 Años",9,15
"96","95 Años",1,9
"97","96 Años",2,9
"98","97 Años",8,9
"99","98 Años",4,9
"100","99 Años",4,7
"101","100 años y más",1,3
