"","Edad","Hombres","Mujeres"
"1","0-4",7759.74633052587,7526.63693975351
"2","5-9",8209.02113418881,8527.45569329937
"3","10-14",9233.89801091881,8955.50317467982
"4","15-19",9679.04528993785,9133.97085450792
"5","20-24",8837.15533908728,8834.58757227527
"6","25-29",7417.84970585642,7914.94161848315
"7","30-34",6504.35345625946,7306.80175150586
"8","35-39",6641.18715202985,7850.07836510025
"9","40-44",7448.55598767692,8699.8619708364
"10","45-49",7501.96365503886,8299.49697620801
"11","50-54",5954.51714309067,6502.38492992769
"12","55-59",4098.1942036242,4686.58876730683
"13","60-64",3001.58595164345,3528.48599760994
"14","65-69",2150.50287772238,2483.67521094118
"15","70-74",1323.55956914289,1511.85120649904
"16","75-79",715.437604942101,844.846999746508
"17","80-84",415.253994476884,492.910734763347
"18","85 y mas",282.172593837304,434.921236555895
