Edad,Hombres,Mujeres
0 Años,1184,1137
1 Año,1414,1278
2 Años,1622,1571
3 Años,1712,1747
4 Años,1823,1795
5 Años,1784,1845
6 Años,1557,1656
7 Años,1592,1656
8 Años,1745,1733
9 Años,1526,1639
10 Años,1945,1828
11 Años,1735,1633
12 Años,1857,1833
13 Años,1780,1800
14 Años,1874,1829
15 Años,2001,1872
16 Años,1841,1752
17 Años,2120,1927
18 Años,2050,1850
19 Años,1849,1710
20 Años,2047,2100
21 Años,1700,1676
22 Años,1694,1867
23 Años,1685,1639
24 Años,1637,1666
25 Años,1697,1776
26 Años,1493,1607
27 Años,1385,1530
28 Años,1541,1528
29 Años,1336,1454
30 Años,1606,1857
31 Años,1055,1151
32 Años,1368,1484
33 Años,1189,1382
34 Años,1165,1328
35 Años,1397,1600
36 Años,1313,1506
37 Años,1088,1390
38 Años,1539,1748
39 Años,1293,1533
40 Años,1787,2129
41 Años,1100,1327
42 Años,1700,2031
43 Años,1527,1852
44 Años,1275,1491
45 Años,1802,2043
46 Años,1508,1572
47 Años,1569,1637
48 Años,1501,1635
49 Años,1362,1492
50 Años,1577,1777
51 Años,907,1073
52 Años,1292,1367
53 Años,1106,1183
54 Años,1009,1099
55 Años,919,1006
56 Años,912,1029
57 Años,714,829
58 Años,743,866
59 Años,664,783
60 Años,838,1012
61 Años,438,605
62 Años,663,703
63 Años,603,659
64 Años,541,692
65 Años,621,674
66 Años,412,452
67 Años,406,423
68 Años,408,506
69 Años,296,377
70 Años,390,407
71 Años,214,228
72 Años,263,363
73 Años,230,261
74 Años,226,266
75 Años,205,236
76 Años,155,188
77 Años,121,131
78 Años,129,164
79 Años,105,126
80 Años,112,149
81 Años,75,79
82 Años,87,87
83 Años,79,95
84 Años,62,83
85 Años,58,79
86 Años,44,67
87 Años,31,55
88 Años,30,39
89 Años,35,42
90 Años,23,45
91 Años,10,11
92 Años,10,13
93 Años,12,23
94 Años,9,15
95 Años,1,9
96 Años,2,9
97 Años,8,9
98 Años,4,9
99 Años,4,7
100 años y más,1,3
No especificado,21,20
